Gender,Age,Dur,PPV
Male,16,44,24.28
Male,16,45,24.5
Male,16,46,24.73
Male,16,47,24.94
Male,16,48,25.14
Male,16,49,25.33
Male,16,50,25.5
Male,17,3,2.91
Male,17,4,3.822
Male,17,5,4.707
Male,17,6,5.566
Male,17,7,6.395
Male,17,8,7.203
Male,17,9,7.984
Male,17,10,8.74
Male,17,11,9.48
Male,17,12,10.195
Male,17,13,10.88
Male,17,14,11.555
Male,17,15,12.2
Male,17,16,12.836
Male,17,17,13.445
Male,17,18,14.04
Male,17,19,14.62
Male,17,20,15.17
Male,17,21,15.71
Male,17,22,16.23
Male,17,23,16.73
Male,17,24,17.23
Male,17,25,17.7
Male,17,26,18.17
Male,17,27,18.61
Male,17,28,19.05
Male,17,29,19.47
Male,17,30,19.88
Male,17,31,20.27
Male,17,32,20.64
Male,17,33,21.0
Male,17,34,21.36
Male,17,35,21.7
Male,17,36,22.03
Male,17,37,22.34
Male,17,38,22.64
Male,17,39,22.94
Male,17,40,23.22
Male,17,41,23.5
Male,17,42,23.75
Male,17,43,24.0
Male,17,44,24.23
Male,17,45,24.47
Male,17,46,24.69
Male,17,47,24.89
Male,17,48,25.08
Male,17,49,25.27
Male,17,50,25.44
Male,18,2,1.97
Male,18,3,2.91
Male,18,4,3.822
Male,18,5,4.707
Male,18,6,5.566
Male,18,7,6.395
Male,18,8,7.203
Male,18,9,7.984
Male,18,10,8.74
Male,18,11,9.48
Male,18,12,10.195
Male,18,13,10.88
Male,18,14,11.555
Male,18,15,12.2
Male,18,16,12.836
Male,18,17,13.445
Male,18,18,14.04
Male,18,19,14.61
Male,18,20,15.17
Male,18,21,15.71
Male,18,22,16.23
Male,18,23,16.73
Male,18,24,17.23
Male,18,25,17.7
Male,18,26,18.17
Male,18,27,18.61
Male,18,28,19.05
Male,18,29,19.45
Male,18,30,19.86
Male,18,31,20.25
Male,18,32,20.62
Male,18,33,21.0
Male,18,34,21.34
Male,18,35,21.69
Male,18,36,22.0
Male,18,37,22.33
Male,18,38,22.62
Male,18,39,22.92
Male,18,40,23.19
Male,18,41,23.45
Male,18,42,23.72
Male,18,43,23.97
Male,18,44,24.2
Male,18,45,24.42
Male,18,46,24.62
Male,18,47,24.83
Male,18,48,25.03
Male,18,49,25.2
Male,18,50,25.38
Male,19,1,1.0
Male,19,2,1.97
Male,19,3,2.91
